98,32.715717,-117.16372,bc29e296,02/09/2018 04 AM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 04 PM,8,
98,32.715717,-117.16372,bc29e296,02/09/2018 05 AM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 05 PM,3,
98,32.715717,-117.16372,bc29e296,02/09/2018 06 AM,2,
98,32.715717,-117.16372,bc29e296,02/09/2018 06 PM,2,
98,32.715717,-117.16372,bc29e296,02/09/2018 07 AM,6,
98,32.715717,-117.16372,bc29e296,02/09/2018 07 PM,5,
98,32.715717,-117.16372,bc29e296,02/09/2018 08 AM,7,
98,32.715717,-117.16372,bc29e296,02/09/2018 08 PM,1,
98,32.715717,-117.16372,bc29e296,02/09/2018 09 AM,5,
98,32.715717,-117.16372,bc29e296,02/09/2018 09 PM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 10 AM,1,
98,32.715717,-117.16372,bc29e296,02/09/2018 10 PM,1,
98,32.715717,-117.16372,bc29e296,02/09/2018 11 AM,2,
98,32.715717,-117.16372,bc29e296,02/09/2018 11 PM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 12 AM,1,
98,32.715717,-117.16372,bc29e296,02/09/2018 12 PM,15,
1431,32.7156,-117.16384,a551c877,02/08/2018 01 PM,92,
1431,32.7156,-117.16384,a551c877,02/08/2018 02 PM,57,
1431,32.7156,-117.16384,a551c877,02/08/2018 03 PM,49,
1431,32.7156,-117.16384,a551c877,02/08/2018 04 PM,62,
1431,32.7156,-117.16384,a551c877,02/08/2018 05 PM,50,
1431,32.7156,-117.16384,a551c877,02/08/2018 06 PM,37,
1431,32.7156,-117.16384,a551c877,02/08/2018 07 PM,17,
1431,32.7156,-117.16384,a551c877,02/08/2018 08 PM,22,
1431,32.7156,-117.16384,a551c877,02/08/2018 09 PM,22,
1431,32.7156,-117.16384,a551c877,02/08/2018 10 PM,15,
1431,32.7156,-117.16384,a551c877,02/08/2018 11 PM,3,
1431,32.7156,-117.16384,a551c877,02/08/2018 12 PM,169,
1431,32.7156,-117.16384,a551c877,02/09/2018 01 AM,7,
1431,32.7156,-117.16384,a551c877,02/09/2018 01 PM,75,
1431,32.7156,-117.16384,a551c877,02/09/2018 02 AM,2,
1431,32.7156,-117.16384,a551c877,02/09/2018 02 PM,55,
1431,32.7156,-117.16384,a551c877,02/09/2018 03 AM,2,
1431,32.7156,-117.16384,a551c877,02/09/2018 03 PM,27,
1431,32.7156,-117.16384,a551c877,02/09/2018 04 AM,1,
1431,32.7156,-117.16384,a551c877,02/09/2018 04 PM,68,
